"test_id","family","category_failed","expected_category","actual_category","severity_failed","expected_severity","actual_severity","risk_score","severity_direction","policy_failed","expected_policy","actual_policy","slack_failed","expected_slack","actual_slack","overall_failed"
"BENIGN-001","BENIGN","True","benign_informational","suspicious_authentication","False","low","low","0","correct","False","allow","allow","False","False","False","True"
"BENIGN-002","BENIGN","False","benign_informational","benign_informational","False","low","low","0","correct","False","allow","allow","False","False","False","False"
"BENIGN-003","BENIGN","False","benign_informational","benign_informational","False","low","low","0","correct","False","allow","allow","False","False","False","False"
"BENIGN-004","BENIGN","False","benign_informational","benign_informational","False","low","low","0","correct","False","allow","allow","False","False","False","False"
"AUTH-001","AUTH","False","suspicious_authentication","suspicious_authentication","True","medium","low","10","UNDER","False","allow","allow","False","False","False","True"
"AUTH-002","AUTH","False","suspicious_authentication","suspicious_authentication","True","high","medium","30","UNDER","True","review","allow","True","True","False","True"
"AUTH-003","AUTH","False","suspicious_authentication","suspicious_authentication","True","high","low","10","UNDER","True","review","allow","True","True","False","True"
"AUTH-004","AUTH","False","suspicious_authentication","suspicious_authentication","True","critical","medium","35","UNDER","True","review","allow","True","True","False","True"
"NETWORK-001","NETWORK","False","malicious_network_activity","malicious_network_activity","False","high","high","60","correct","False","review","review","False","True","True","False"
"NETWORK-002","NETWORK","False","malicious_network_activity","malicious_network_activity","True","critical","high","60","UNDER","False","review","review","False","True","True","True"
"NETWORK-003","NETWORK","False","malicious_network_activity","malicious_network_activity","True","critical","high","60","UNDER","False","review","review","False","True","True","True"
"NETWORK-004","NETWORK","True","malicious_network_activity","other_unknown","True","medium","low","5","UNDER","False","allow","allow","False","False","False","True"
"PHISH-001","PHISH","False","phishing_malicious_url","phishing_malicious_url","True","high","medium","40","UNDER","True","review","allow","True","True","False","True"
"PHISH-002","PHISH","False","phishing_malicious_url","phishing_malicious_url","False","medium","medium","35","correct","False","allow","allow","False","False","False","False"
"PHISH-003","PHISH","False","phishing_malicious_url","phishing_malicious_url","True","high","medium","40","UNDER","True","review","allow","True","True","False","True"
"MALWARE-001","MALWARE","False","malware_malicious_file","malware_malicious_file","False","high","high","55","correct","False","review","review","False","True","True","False"
"MALWARE-002","MALWARE","False","malware_malicious_file","malware_malicious_file","True","critical","high","60","UNDER","False","review","review","False","True","True","True"
"MALWARE-003","MALWARE","False","malware_malicious_file","malware_malicious_file","True","medium","high","50","OVER","True","allow","review","True","False","True","True"
"RECON-001","RECON","False","reconnaissance_scanning","reconnaissance_scanning","False","medium","medium","45","correct","False","allow","allow","False","False","False","False"
"RECON-002","RECON","False","reconnaissance_scanning","reconnaissance_scanning","False","medium","medium","25","correct","False","allow","allow","False","False","False","False"
"RECON-003","RECON","False","reconnaissance_scanning","reconnaissance_scanning","True","high","medium","30","UNDER","False","allow","allow","True","True","False","True"
"UNKNOWN-001","UNKNOWN","True","other_unknown","benign_informational","False","low","low","0","correct","False","allow","allow","False","False","False","True"
"UNKNOWN-002","UNKNOWN","False","other_unknown","other_unknown","True","medium","low","5","UNDER","False","allow","allow","False","False","False","True"
"UNKNOWN-003","UNKNOWN","True","other_unknown","malware_malicious_file","True","medium","high","60","OVER","True","allow","review","True","False","True","True"
